# Fun Exchange
# Ticker,Name,Price

W,Winning Wealth Works,150.00
FLEX,Flex Fund Factory,160.80
CHILL,Chill Capital,18.75
RIZZ,Rizz Robotics,300.00
VIBE,Vibe Ventures,76.30
GOAT,Greatest Of All Trades,240.00
SWAG,Swag Securities ASA,83.83
SKILL,Skill Issue Securities,11.11
GG,Good Game Group,120.00
GRASS,Grass Gains Group,36.80
DOOF,Doofenshmirtz Evil Incorporated,66.60
DOOM,Doomsday Device Dynamics,150.00
KRUSTY,Krusty Krab Holdings,88.80
STARK,Stark Industries,750.00
WAYNE,Wayne Enterprises,500.00
PREST,Prestige Worldwide,69.69
BRUH,Bruh Bank ASA,31.40
GLHF,Good Luck Have Funds,55.25
NOPE,Nope Nordic,9.99
STONK,Stonk Solutions ASA,123.45
HYPE,Hype Train Industries,250.00
AURA,Aura Assets ASA,91.20
UNREAL,Unrealized Gains Group,177.70
